// walltype x y z width height depth;

//left;
1 00.00 00.00 00.00 00.50 12.00 00.00;

//right;
1 23.00 00.00 00.00 00.50 12.00 00.00;

//bottom;
1 00.00 00.00 00.00 23.00 00.50 00.00;


1 00.00 11.00 00.00 18.00 00.10 00.00;

1 20.00 08.50 00.00 01.50 00.50 00.00;
1 20.00 09.00 00.00 00.50 00.50 00.00;


1 04.70 07.50 00.00 10.00 00.30 00.00;
1 19.00 08.00 00.00 04.00 00.50 00.00;

2 16.00 07.00 00.00 00.90 00.10 00.00;


1 00.00 05.50 00.00 04.00 00.10 00.00;
1 00.00 06.50 00.00 02.00 00.10 00.00;


1 0.00 04.00 00.00 07.00 00.20 00.00;
1 14.00 04.00 00.00 07.00 00.20 00.00;

2 11.00 03.80 00.00 01.00 00.20 00.00;
2 09.00 03.80 00.00 01.00 00.20 00.00;

1 22.00 01.50 00.00 01.00 00.20 00.00;
1 22.50 02.50 00.00 01.00 00.20 00.00;

1 13.00 02.00 00.00 06.00 00.30 00.00;

//logo;

1 01.00 16.40 00.00 01.00 00.10 00.00;
1 01.00 15.20 00.00 00.10 01.30 00.00;
1 01.00 15.20 00.00 01.00 00.10 00.00;

1 01.75 15.20 00.00 00.10 01.00 00.00;
1 01.25 15.20 00.00 00.10 01.00 00.00;
1 01.25 15.70 00.00 00.50 00.10 00.00;





